T2M,RH2M,PS,datetime,hour,month,T2M_diff,RH2M_diff,PS_diff,T2M_roll_mean,RH2M_roll_mean,PS_roll_mean,T2M_roll_std,RH2M_roll_std,PS_roll_std,T2M_roll_dev,RH2M_roll_dev,PS_roll_dev
29.44,74.39,980.9,2025-09-30 11:00:00,11,9,0.0400000000000027,-0.3499999999999943,-0.3000000000000682,27.92625,82.75583333333333,980.3083333333333,2.5026539174319744,9.998666396583102,0.7879067847885047,1.5137500000000017,-8.365833333333327,0.591666666666697
29.18,75.63,980.4,2025-09-30 12:00:00,12,9,-0.26000000000000156,1.2399999999999949,-0.5,27.79875,83.19458333333334,980.2458333333334,2.346400226249144,9.403550661119867,0.7119960715228341,1.3812500000000014,-7.564583333333346,0.1541666666665833
28.72,77.83,979.9,2025-09-30 13:00:00,13,9,-0.46000000000000085,2.200000000000003,-0.5,27.650833333333335,83.735,980.2083333333334,2.1564885238800104,8.646256289637961,0.7052083668298159,1.0691666666666642,-5.905000000000001,-0.30833333333339397
28.26,80.01,979.4,2025-09-30 14:00:00,14,9,-0.4599999999999973,2.180000000000007,-0.5,27.49416666666667,84.33375,980.1750000000001,1.952173630613083,7.794286543193642,0.7242687467084022,0.7658333333333331,-4.32374999999999,-0.775000000000091
27.78,82.82,979.0,2025-09-30 15:00:00,15,9,-0.4800000000000004,2.809999999999988,-0.39999999999997726,27.334999999999997,84.96416666666666,980.1416666666665,1.7478981166218328,6.956415816676872,0.7598150042261295,0.44500000000000384,-2.1441666666666634,-1.1416666666665378
27.16,87.03,979.0,2025-09-30 16:00:00,16,9,-0.620000000000001,4.210000000000008,0.0,27.174166666666668,85.60916666666667,980.1166666666667,1.5617574177468638,6.349778439591786,0.7877688177457313,-0.014166666666667993,1.4208333333333343,-1.1166666666666742
26.09,92.53,979.2,2025-09-30 17:00:00,17,9,-1.0700000000000003,5.5,0.20000000000004547,27.031666666666666,86.13833333333334,980.1,1.4939142244949375,6.3763541897894,0.8032542507649845,-0.9416666666666664,6.391666666666666,-0.8999999999999773
25.22,95.47,979.7,2025-09-30 18:00:00,18,9,-0.870000000000001,2.9399999999999977,0.5,26.902083333333334,86.58166666666666,980.0875000000001,1.5111814530563283,6.645635159011453,0.8072026307094499,-1.6820833333333347,8.888333333333335,-0.3875000000000455
24.84,96.25,980.4,2025-09-30 19:00:00,19,9,-0.379999999999999,0.7800000000000011,0.6999999999999318,26.779583333333335,86.98375,980.0875,1.5554350130152295,6.93252875156877,0.8072026307094499,-1.939583333333335,9.26625,0.3125
24.52,96.77,981.0,2025-09-30 20:00:00,20,9,-0.3200000000000003,0.519999999999996,0.6000000000000227,26.665000000000003,87.33749999999999,980.0958333333333,1.617778939056813,7.212507403358575,0.8158639948169716,-2.145000000000003,9.432500000000005,0.904166666666697
